Time,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Temperature,AirDensity,vSpeed,RPS,Delta_Pressure,wind_speed_ms,power,cadence
67.429,2.79,0.43,10.30,0.33,0.15,-0.08,14.9,1.24,1.42,0.67,568.10,30.3,103.00,0.0
69.446,2.99,-1.13,14.54,-0.12,0.45,-0.14,14.9,1.24,2.18,1.03,568.10,30.3,29.00,0.0
71.285,-4.73,1.43,10.01,-0.38,0.06,-0.04,14.8,1.24,2.31,1.10,549.10,29.8,61.00,0.0
73.057,-3.02,4.00,11.52,0.67,-0.47,-0.27,14.8,1.24,2.51,1.19,587.00,30.8,89.00,0.0
74.832,0.49,-2.46,8.53,0.54,0.24,0.18,14.7,1.24,2.89,1.37,587.00,30.8,89.00,0.0
76.679,2.02,0.89,7.31,-0.16,0.17,-0.03,14.6,1.24,3.27,1.55,593.30,30.9,94.00,0.0
78.454,2.80,1.28,8.93,-0.51,-0.34,0.14,14.6,1.24,3.58,1.70,574.40,30.4,56.00,0.0
80.227,4.29,-1.02,13.29,0.29,0.76,-0.34,14.5,1.24,3.95,1.87,605.90,31.3,56.00,0.0
82.002,6.28,-0.82,11.36,-0.57,-0.17,0.08,14.4,1.24,4.15,1.97,605.90,31.3,51.00,0.0
83.777,1.35,0.84,7.83,0.19,-0.44,-0.16,14.3,1.24,4.25,2.02,631.20,31.9,54.00,0.0
85.553,4.20,-0.22,4.08,-0.40,0.04,0.05,14.3,1.24,4.20,2.00,587.00,30.8,60.00,0.0
87.328,-3.94,3.39,-10.70,-1.04,-1.30,-0.19,14.1,1.24,4.12,1.96,605.90,31.2,74.00,0.0
89.309,-3.83,-1.58,12.29,-1.08,-0.21,-0.25,14.1,1.24,4.05,1.93,587.00,30.7,86.00,0.0
91.085,9.37,0.15,22.06,-0.15,-0.80,-0.16,13.9,1.24,3.98,1.89,587.00,30.7,110.00,0.0
92.857,-7.97,2.43,21.99,-0.10,-0.94,0.18,13.9,1.24,3.93,1.87,574.40,30.4,127.00,0.0
94.631,8.77,-0.28,12.17,-1.40,-0.03,-0.07,13.8,1.24,3.93,1.87,574.40,30.4,114.00,0.0
96.407,12.95,5.98,12.47,0.99,-1.37,-0.60,13.7,1.24,3.93,1.87,605.90,31.2,88.00,0.0
98.181,3.62,-2.49,18.06,-0.03,-0.07,0.02,13.6,1.24,3.92,1.86,587.00,30.7,120.00,0.0
100.035,17.47,1.22,27.69,1.30,0.87,0.36,13.5,1.24,4.03,1.92,593.30,30.9,112.00,0.0
101.809,-0.70,-0.51,7.78,-0.11,-0.03,-0.01,13.4,1.24,4.15,1.97,605.90,31.2,101.00,0.0
103.582,-5.19,-0.19,5.37,-0.57,-0.26,-0.34,13.4,1.24,4.18,1.99,612.20,31.4,106.00,0.0
105.357,4.08,-2.87,7.42,-0.41,0.87,-0.12,13.3,1.25,4.26,2.02,574.40,30.4,103.00,0.0
107.133,-7.99,1.44,11.31,-0.08,-0.01,-0.02,13.2,1.25,4.34,2.06,612.20,31.4,98.00,0.0
108.912,-4.53,1.32,11.51,1.91,-0.38,-0.07,13.1,1.25,4.46,2.12,624.90,31.7,116.00,0.0
110.895,8.87,1.36,-0.41,-2.13,0.13,-0.08,13.0,1.25,4.49,2.13,574.40,30.4,135.00,0.0
112.670,1.07,1.90,13.53,-0.05,0.85,0.08,12.9,1.25,4.46,2.12,612.20,31.3,116.00,0.0
114.446,3.18,3.94,9.72,-1.01,0.04,-0.15,12.8,1.25,4.42,2.10,587.00,30.7,104.00,0.0
116.219,1.96,1.62,0.25,-0.14,0.06,0.30,12.8,1.25,4.35,2.07,605.90,31.2,93.00,0.0
117.993,-1.78,0.99,6.41,-0.83,-0.56,0.11,12.7,1.25,4.29,2.04,574.40,30.3,88.00,0.0
119.767,0.64,0.23,-10.28,-0.31,0.05,-0.04,12.6,1.25,4.24,2.01,587.00,30.7,87.00,0.0
121.626,-7.29,1.90,6.44,-0.13,0.08,0.01,12.5,1.25,4.26,2.02,574.40,30.3,75.00,0.0
123.403,-2.15,3.13,28.29,-0.59,-0.70,-0.01,12.4,1.25,4.21,2.00,624.90,31.6,81.00,0.0
125.179,-7.36,0.87,6.03,-0.20,0.82,0.04,12.4,1.25,4.11,1.95,574.40,30.3,83.00,0.0
126.955,-1.26,-0.82,14.61,-0.39,-0.03,-0.25,12.3,1.25,3.86,1.83,574.40,30.3,0.00,0.0
128.732,-2.45,3.25,8.00,0.17,-0.49,0.31,12.3,1.25,3.67,1.74,549.10,29.6,0.00,0.0
130.506,0.14,-0.38,11.21,-0.18,0.01,-0.02,12.3,1.25,3.51,1.67,536.50,29.3,0.00,0.0
132.470,1.65,-1.22,8.87,0.65,0.00,-0.58,12.3,1.25,3.35,1.59,555.40,29.8,0.00,0.0
134.246,2.72,-0.70,8.73,0.47,-0.09,-0.49,12.2,1.25,3.02,1.43,517.60,28.8,0.00,0.0
136.019,0.66,-1.47,9.40,0.12,0.07,-0.38,12.2,1.25,3.06,1.45,536.50,29.3,0.00,0.0
137.793,0.19,1.16,9.85,0.05,0.00,-0.00,12.1,1.25,3.49,1.66,530.20,29.1,0.00,0.0
139.565,2.51,-2.14,8.95,-0.60,0.06,-0.02,12.1,1.25,0.04,0.02,517.60,28.8,0.00,0.0
141.338,3.24,1.07,11.33,0.40,-0.07,0.03,12.1,1.25,0.00,0.00,530.20,29.1,0.00,0.0
143.179,-0.16,6.83,10.86,3.86,-0.05,-0.15,12.1,1.25,0.00,0.00,555.40,29.8,0.00,0.0
144.954,0.97,-6.75,6.41,1.09,0.08,-0.39,12.1,1.25,0.00,0.00,530.20,29.1,0.00,0.0
146.730,-0.44,-2.84,9.11,-0.57,0.14,0.61,12.1,1.25,0.00,0.00,530.20,29.1,0.00,0.0
148.501,10.88,1.77,10.45,0.29,-0.33,-0.26,12.0,1.25,0.00,0.00,511.20,28.6,0.00,0.0
150.275,-2.51,-0.04,5.95,-0.26,0.09,-0.08,12.0,1.25,0.00,0.00,568.10,30.1,0.00,0.0
152.049,-10.24,-1.37,2.15,-1.03,0.24,-0.02,11.9,1.25,1.83,0.87,536.50,29.3,186.00,0.0
153.823,-2.27,-0.75,4.55,0.77,-1.01,0.10,11.9,1.25,2.61,1.24,555.40,29.8,0.00,0.0
155.789,-1.98,-0.45,9.91,-0.70,0.16,0.18,11.9,1.25,2.83,1.35,549.10,29.6,0.00,0.0
157.562,5.36,0.54,10.66,0.24,0.01,-0.09,11.9,1.25,2.92,1.39,530.20,29.1,0.00,0.0
159.334,3.60,-0.61,7.56,-0.73,-0.01,-0.21,11.8,1.25,2.90,1.38,517.60,28.8,0.00,0.0
161.109,-5.30,-1.21,-0.21,-1.55,-1.14,-0.09,11.8,1.25,2.16,1.03,587.00,30.6,0.00,0.0
162.880,-3.15,0.72,13.66,-1.01,-0.24,-0.14,11.8,1.25,2.04,0.97,587.00,30.6,0.00,0.0
164.656,9.43,-6.89,13.39,-0.11,0.15,-0.21,11.7,1.25,2.63,1.25,530.20,29.1,285.00,0.0
166.500,10.94,-1.32,3.27,0.54,0.72,0.17,11.6,1.25,3.79,1.80,605.90,31.1,188.00,0.0
168.275,1.67,-5.78,12.35,0.56,0.28,-0.01,11.6,1.25,4.36,2.07,612.20,31.3,119.00,0.0
170.047,5.36,-0.09,12.39,-1.28,0.19,-0.08,11.5,1.25,4.98,2.37,612.20,31.3,230.00,0.0
171.821,-8.69,8.60,34.23,0.89,-0.92,-0.09,11.4,1.25,5.32,2.53,681.70,33.0,260.00,0.0
173.594,8.86,1.89,3.62,-0.20,0.55,0.11,11.4,1.25,5.80,2.76,568.10,30.1,195.00,0.0
175.369,2.18,0.25,10.69,0.24,0.32,0.03,11.3,1.25,6.03,2.86,662.70,32.5,168.00,0.0
177.333,8.30,-2.54,8.14,0.02,-0.06,0.22,11.3,1.25,6.13,2.91,593.30,30.8,171.00,0.0
179.107,3.45,0.36,3.29,0.48,-0.03,0.32,11.2,1.25,6.14,2.92,593.30,30.8,168.00,0.0
180.879,-10.93,4.01,8.49,-1.79,-0.38,-0.17,11.1,1.25,6.05,2.88,593.30,30.8,170.00,0.0
182.657,0.30,-3.94,16.10,0.29,0.72,0.19,11.1,1.25,6.02,2.86,643.80,32.0,166.00,0.0
184.435,8.27,2.58,11.12,-2.05,0.08,-0.01,11.0,1.26,6.13,2.91,612.20,31.2,106.00,0.0
186.210,4.13,0.78,13.83,0.92,0.08,0.01,10.9,1.26,6.13,2.91,631.20,31.7,0.00,0.0
188.054,-3.49,0.03,13.02,-0.91,-0.20,-0.09,10.9,1.26,6.05,2.87,555.40,29.7,0.00,0.0
189.827,-2.52,-0.75,7.86,0.77,-0.46,-0.02,10.8,1.26,5.75,2.73,574.40,30.2,0.00,0.0
