Time,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Temperature,AirDensity,vSpeed,RPS,Delta_Pressure,wind_speed_ms
46.750,2.43,2.26,9.51,-0.17,0.03,0.15,20.1,1.20,0.00,0.00,0.00,0.0
48.766,0.10,-1.86,10.12,0.55,-0.03,0.01,19.9,1.20,0.12,0.06,-19.00,0.0
50.541,2.65,-0.70,9.95,-0.05,0.01,0.07,19.9,1.21,0.00,0.00,-13.00,0.0
52.318,2.74,0.10,9.45,-0.09,-0.01,-0.03,19.8,1.21,0.00,0.00,-19.00,0.0
54.094,2.71,-2.44,10.01,0.13,-0.04,-0.23,19.6,1.21,0.00,0.00,25.00,6.4
55.871,2.33,2.63,10.25,0.04,0.05,0.30,19.6,1.21,0.00,0.00,0.00,0.0
57.648,1.49,2.61,9.33,-0.19,-0.33,-1.00,19.5,1.21,0.00,0.00,6.00,3.2
59.477,0.48,0.65,8.94,-0.04,-0.12,-0.58,19.4,1.21,0.07,0.03,-13.00,0.0
61.252,3.39,1.66,9.76,-0.42,-0.09,-0.44,19.4,1.21,1.62,0.77,0.00,0.0
63.028,0.10,0.37,10.56,-0.08,0.05,-0.14,19.3,1.21,1.80,0.85,0.00,0.0
64.803,1.53,2.38,8.93,-0.44,-0.21,-1.15,19.1,1.21,2.14,1.02,0.00,0.0
66.578,2.41,0.17,9.97,-0.04,-0.12,-0.57,19.1,1.21,2.38,1.13,6.00,3.2
68.356,4.29,-0.52,9.93,-0.32,-0.15,-0.62,19.0,1.21,2.46,1.17,6.00,3.2
70.130,5.69,2.31,13.75,0.06,-0.02,0.20,18.9,1.21,2.47,1.18,25.00,6.4
72.088,1.73,-1.35,11.05,0.07,-0.05,-1.19,18.8,1.21,2.46,1.17,-13.00,0.0
73.862,2.29,0.04,9.88,-0.06,0.01,-0.20,18.7,1.21,2.48,1.18,6.00,3.1
75.637,-0.41,0.85,9.93,-0.29,-0.07,-0.52,18.6,1.21,2.58,1.22,0.00,0.0
77.413,1.20,0.42,9.74,0.13,-0.03,-0.08,18.4,1.21,2.38,1.13,6.00,3.1
79.187,1.56,2.39,12.13,-0.55,-0.25,-0.94,18.3,1.21,2.38,1.13,0.00,0.0
80.962,1.23,0.55,9.90,-0.12,-0.22,-0.82,18.3,1.21,2.48,1.18,38.00,7.9
82.739,1.82,0.82,10.27,-0.11,0.03,-0.01,18.1,1.21,2.76,1.31,6.00,3.1
84.578,-0.36,-0.19,9.74,0.24,-0.02,-0.10,18.1,1.21,2.89,1.37,-19.00,0.0
86.356,3.18,-0.12,8.86,0.05,-0.15,-0.79,17.9,1.21,2.86,1.36,0.00,0.0
88.128,0.86,-0.88,11.88,-0.26,-0.27,-0.68,17.9,1.21,2.94,1.40,6.00,3.1
89.903,2.55,-0.22,9.59,-0.18,-0.01,-0.33,17.8,1.21,2.94,1.40,0.00,0.0
91.679,0.36,4.78,10.47,-0.62,-0.14,-0.91,17.6,1.21,2.81,1.34,0.00,0.0
93.454,1.95,0.07,10.83,0.19,-0.05,-0.17,17.5,1.22,2.88,1.37,0.00,0.0
95.227,2.21,-0.70,9.56,-0.44,-0.08,-0.66,17.4,1.22,2.91,1.38,0.00,0.0
97.001,-0.72,-1.52,12.27,0.38,0.03,-0.30,17.3,1.22,2.88,1.37,-13.00,0.0
98.943,3.71,-4.22,11.84,-0.28,-0.21,-0.87,17.2,1.22,2.71,1.29,0.00,0.0
100.717,1.67,-0.50,10.62,0.16,-0.03,-0.13,17.1,1.22,2.70,1.28,-19.00,0.0
102.493,1.57,0.29,9.80,-0.16,-0.01,-0.30,17.0,1.22,2.73,1.30,0.00,0.0
104.268,0.43,1.33,9.53,0.16,-0.02,-0.03,16.9,1.22,2.66,1.26,-19.00,0.0
106.043,2.90,1.20,10.82,-0.12,0.03,0.06,16.8,1.22,2.74,1.30,6.00,3.1
107.818,0.14,0.12,9.37,-0.15,-0.23,-1.01,16.7,1.22,2.91,1.38,0.00,0.0
109.592,2.83,-0.15,10.43,0.19,-0.03,-0.42,16.6,1.22,2.80,1.33,6.00,3.1
111.416,2.96,1.13,11.46,-0.02,-0.19,-0.73,16.5,1.22,2.70,1.28,-13.00,0.0
113.190,7.47,-0.19,8.48,-0.24,-0.02,-0.67,16.4,1.22,2.71,1.29,0.00,0.0
114.959,3.87,-0.65,9.67,-0.41,-0.03,-0.27,16.3,1.22,2.82,1.34,6.00,3.1
116.736,3.69,-0.16,9.59,-0.06,-0.27,-0.59,16.2,1.22,0.00,0.00,-19.00,0.0
118.513,2.14,0.45,9.46,-0.07,-0.09,-0.32,16.1,1.22,3.06,1.45,-13.00,0.0
120.287,-3.91,-0.02,6.02,-1.25,-0.32,-1.06,16.0,1.22,3.17,1.51,-13.00,0.0
122.064,1.98,0.72,10.86,0.22,-0.01,0.33,15.9,1.22,3.15,1.50,19.00,5.6
124.009,-2.55,-0.57,15.09,-0.19,-0.08,-0.84,15.8,1.22,3.04,1.44,-13.00,0.0
125.785,2.77,-0.20,9.25,-0.20,-0.15,-0.67,15.6,1.22,2.97,1.41,6.00,3.1
127.561,1.78,0.51,9.32,0.10,-0.05,-0.19,15.6,1.22,3.08,1.46,0.00,0.0
129.336,1.92,2.01,9.05,-0.25,-0.05,-0.36,15.4,1.22,3.15,1.50,-19.00,0.0
131.110,1.14,0.18,10.52,0.04,-0.22,-0.96,15.4,1.22,3.18,1.51,-19.00,0.0
132.886,5.15,-2.32,11.24,0.44,0.03,-0.09,15.3,1.22,3.26,1.55,-19.00,0.0
134.660,4.01,-1.58,8.17,0.62,-0.06,-0.04,15.3,1.22,3.12,1.48,-19.00,0.0
136.481,1.14,-1.32,10.53,0.28,-0.01,0.03,15.1,1.23,0.05,0.02,-32.00,0.0
138.254,2.03,1.73,10.18,-0.06,0.01,0.03,15.1,1.23,0.00,0.00,-32.00,0.0
140.032,5.84,13.49,12.25,-0.87,-0.07,0.52,15.0,1.23,0.00,0.00,-38.00,0.0
141.811,2.03,0.21,9.94,-0.00,0.01,0.00,15.0,1.23,0.00,0.00,-32.00,0.0
143.588,2.07,0.26,9.86,-0.00,0.01,-0.00,14.9,1.23,0.00,0.00,-38.00,0.0
145.365,2.09,0.25,9.85,0.00,0.00,0.00,14.9,1.23,0.00,0.00,-19.00,0.0
