Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pressure,Temp,DeltaP,AirspeedTemp,Speed,Power,Airspeed
64.233,4.59,-4.33,13.61,-0.72,-0.40,-0.04,1013.7,16.6,-38.4,14.4,0.00,0,0.00
64.348,1.24,-2.33,9.57,-0.18,-0.07,0.01,1013.5,16.6,-41.6,14.4,0.00,0,0.00
64.446,2.34,-2.69,9.85,-0.20,0.03,-0.10,1013.5,16.6,-40.5,14.4,0.00,0,0.00
64.543,1.35,-1.80,9.91,0.09,-0.01,0.01,1013.1,16.6,-43.7,14.4,0.00,0,0.00
64.640,-2.02,3.65,-0.22,0.55,0.02,-0.00,1013.7,16.6,-43.7,14.4,0.00,0,0.00
64.737,1.10,-0.46,9.87,0.13,0.03,-0.03,1013.4,16.7,-40.5,14.4,0.00,0,0.00
64.857,1.22,-0.49,9.82,0.02,-0.02,0.04,1012.8,16.6,-41.6,14.4,0.00,0,0.00
64.955,1.28,-1.11,9.79,0.03,0.01,0.01,1013.5,16.8,-41.6,14.4,0.00,0,0.00
65.052,1.71,-1.13,9.87,0.05,0.00,-0.01,1013.6,16.6,-40.5,14.4,0.00,0,0.00
65.149,1.34,-0.54,9.80,0.08,-0.00,-0.03,1013.6,16.6,-43.7,14.4,0.00,0,0.00
65.246,1.43,-0.43,9.87,0.04,-0.00,-0.02,1013.4,16.7,-43.7,14.4,0.00,0,0.00
65.336,1.14,0.06,9.85,0.03,-0.01,0.02,1013.3,16.6,-41.6,14.4,0.00,0,0.00
65.433,1.53,-1.36,9.84,0.02,-0.00,-0.01,1013.7,16.7,-40.5,14.4,0.00,0,0.00
65.555,1.39,-0.29,9.98,-0.06,-0.00,0.03,1013.8,16.6,-41.6,14.4,0.00,0,0.00
65.653,2.81,1.24,8.80,-0.21,0.13,-0.02,1013.8,16.7,-37.4,14.4,0.00,0,0.00
65.750,1.58,-0.92,11.37,0.12,0.02,0.01,1013.4,16.5,-40.5,14.4,0.00,0,0.00
65.840,1.23,-1.51,9.90,-0.12,0.02,0.04,1013.4,16.6,-40.5,14.4,0.00,0,0.00
65.946,1.58,-1.07,9.71,0.02,0.00,-0.01,1013.7,16.8,-40.5,14.4,0.00,0,0.00
66.043,1.54,-1.14,9.96,0.03,0.00,0.02,1013.4,16.5,-40.5,14.4,0.00,0,0.00
66.140,1.19,-0.94,9.83,0.05,0.00,-0.01,1013.4,16.7,-40.5,14.4,0.00,0,0.00
66.237,0.94,-1.22,10.72,0.02,-0.02,0.01,1013.6,16.6,-40.5,14.4,0.00,0,0.00
66.351,1.31,-1.03,9.84,0.06,0.00,-0.00,1013.4,16.8,-41.6,14.4,0.00,0,0.00
66.449,1.32,-0.56,9.82,0.05,0.00,0.00,1013.7,16.6,-41.6,14.4,0.00,0,0.00
66.546,1.38,-0.12,9.76,0.05,0.01,-0.01,1013.2,16.4,-40.5,14.4,0.00,0,0.00
66.643,2.28,-2.26,9.92,-0.32,0.01,0.01,1013.4,16.7,-40.5,14.4,0.00,0,0.00
66.741,0.85,-1.71,9.56,-0.19,-0.04,0.02,1013.5,16.6,-40.5,14.4,0.00,0,0.00
66.855,3.05,-0.64,10.35,-0.32,-0.02,0.03,1013.5,16.6,-40.5,14.4,0.00,0,0.00
66.936,0.96,-1.95,10.11,0.43,-0.00,-0.05,1013.4,16.6,-40.5,14.4,0.00,0,0.00
67.034,1.42,-1.96,9.78,-0.19,0.00,-0.00,1013.6,16.6,-41.6,14.4,0.00,0,0.00
67.155,1.16,-0.63,9.55,-0.02,0.01,0.01,1013.2,16.7,-43.7,14.4,0.00,0,0.00
67.252,1.50,-1.00,9.80,-0.00,-0.00,0.01,1013.5,16.7,-41.6,14.4,0.00,0,0.00
67.342,1.41,-0.56,9.86,-0.01,0.00,0.02,1014.0,16.7,-40.5,14.4,0.00,0,0.00
67.439,1.49,-0.76,9.85,-0.01,0.00,0.01,1013.6,16.8,-43.7,14.4,0.00,0,0.00
