Time,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Temperature,AirDensity,vSpeed,RPS,Delta_Pressure,wind_speed_ms,power,cadence
168.592,0.83,-0.01,9.80,-0.96,0.04,0.03,21.0,1.19,0.00,0.00,568.10,30.9,76.00,0.0
170.590,2.07,-1.59,9.72,0.05,0.00,-0.01,20.9,1.19,0.00,0.00,536.50,30.0,76.00,0.0
172.359,3.31,-1.17,9.67,-0.09,0.00,-0.12,20.9,1.19,0.00,0.00,555.40,30.5,76.00,0.0
174.127,1.29,-6.67,11.27,0.90,0.03,-0.38,20.8,1.19,0.00,0.00,574.40,31.0,76.00,0.0
175.896,0.76,0.10,9.78,-0.13,-0.14,-0.63,20.7,1.19,0.00,0.00,593.30,31.5,76.00,0.0
177.730,4.08,-2.70,7.74,-0.03,-0.12,-0.95,20.6,1.19,0.00,0.00,555.40,30.5,76.00,0.0
179.500,-3.50,1.95,11.53,-0.20,-0.23,-0.20,20.6,1.19,3.25,1.54,574.40,31.0,76.00,0.0
181.271,-0.72,1.89,8.33,1.20,-0.40,-0.98,20.4,1.19,3.25,1.54,574.40,31.0,76.00,0.0
183.041,0.98,-1.40,12.66,-0.25,-0.36,-1.12,20.3,1.19,3.25,1.55,612.20,32.0,76.00,0.0
184.814,3.09,2.56,8.52,1.38,0.20,-0.16,20.2,1.20,3.45,1.64,650.10,33.0,76.00,0.0
186.585,2.66,0.26,11.26,-0.42,-0.31,-0.88,20.1,1.20,3.59,1.71,536.50,30.0,76.00,0.0
188.362,-2.45,-0.56,14.42,-0.05,0.09,-0.63,19.9,1.20,3.61,1.72,593.30,31.5,76.00,0.0
190.322,1.24,-0.95,9.80,-0.15,-0.34,-1.11,19.8,1.20,3.96,1.88,650.10,33.0,76.00,0.0
192.094,-1.26,0.09,14.78,-0.19,-0.42,-1.06,19.7,1.20,4.12,1.96,587.00,31.3,76.00,0.0
193.865,0.87,-0.47,10.90,-1.24,0.07,0.05,19.5,1.20,4.16,1.98,624.90,32.3,76.00,0.0
195.637,1.79,0.77,6.18,-0.89,-0.17,-0.90,19.4,1.20,4.33,2.06,574.40,31.0,76.00,0.0
197.409,-0.37,0.95,8.96,-0.33,-0.15,-0.85,19.3,1.20,4.17,1.98,574.40,31.0,76.00,0.0
199.178,3.65,-0.95,8.53,0.13,-0.08,-0.75,19.1,1.20,4.09,1.94,605.90,31.8,76.00,0.0
201.012,2.03,0.98,12.81,-0.20,-0.33,-0.95,18.9,1.20,4.09,1.94,593.30,31.4,76.00,0.0
202.784,0.47,0.65,10.75,-0.61,-0.10,-0.34,18.8,1.20,3.95,1.88,605.90,31.8,76.00,0.0
204.554,1.44,0.10,11.87,0.86,-0.30,-1.08,18.6,1.20,4.10,1.95,593.30,31.4,76.00,0.0
206.324,1.96,0.23,6.57,-0.55,-0.75,-0.87,18.6,1.20,4.08,1.94,587.00,31.3,76.00,0.0
208.094,0.60,1.77,8.78,1.44,-0.31,-0.19,18.4,1.20,4.01,1.90,605.90,31.7,76.00,0.0
209.866,3.34,0.62,8.70,0.04,-0.41,-0.78,18.3,1.20,4.25,2.02,574.40,30.9,76.00,0.0
211.830,2.33,2.65,7.87,1.19,0.06,-0.05,18.1,1.20,4.08,1.94,587.00,31.2,76.00,0.0
213.601,0.42,-0.12,10.15,-0.01,-0.19,-0.71,17.9,1.20,4.20,1.99,568.10,30.7,76.00,0.0
215.373,-0.98,1.60,18.46,-0.72,-0.02,-0.28,17.9,1.20,4.07,1.94,555.40,30.4,76.00,0.0
217.143,3.53,2.94,10.04,-0.23,-0.40,-0.60,17.8,1.21,3.98,1.89,605.90,31.7,76.00,0.0
218.912,2.80,-0.65,9.54,-0.08,-0.50,-1.18,17.6,1.21,4.13,1.96,555.40,30.3,76.00,0.0
220.683,2.40,1.46,9.12,-0.39,-0.02,-0.00,17.4,1.21,3.91,1.86,587.00,31.2,76.00,0.0
222.517,1.44,0.95,10.52,0.15,-0.22,-0.77,17.3,1.21,4.11,1.95,549.10,30.2,76.00,0.0
224.289,0.28,1.84,11.27,-0.91,-0.13,-0.26,17.3,1.21,4.00,1.90,536.50,29.8,76.00,0.0
226.065,1.38,2.05,9.99,0.31,-0.29,-0.70,17.1,1.21,4.03,1.92,568.10,30.7,76.00,0.0
227.835,1.89,-0.34,8.64,0.05,-0.03,-0.19,17.0,1.21,4.23,2.01,574.40,30.8,76.00,0.0
229.605,2.39,0.02,8.94,-0.25,-0.10,-0.52,16.9,1.21,3.93,1.87,568.10,30.7,76.00,0.0
231.376,-0.15,-0.22,10.96,0.22,0.10,0.11,16.8,1.21,3.71,1.76,593.30,31.3,76.00,0.0
233.339,4.88,4.36,9.83,-0.08,-0.24,-0.93,16.7,1.21,3.49,1.66,530.20,29.6,76.00,0.0
235.109,0.93,2.49,8.68,-0.20,-0.02,0.00,16.6,1.21,3.29,1.56,549.10,30.1,76.00,0.0
