Time,A_X,A_Y,A_Z,G_X,G_Y,G_Z,Temperature,AirDensity,vSpeed,RPS,Delta_Pressure,wind_speed_ms,power,cadence
71.656,2.43,-0.10,8.55,0.61,-0.15,0.18,16.9,1.22,2.05,0.97,25.00,6.4,0.00,0.0
73.670,0.88,-1.34,11.91,-0.77,0.06,-1.45,16.6,1.22,2.40,1.14,38.00,7.9,63.00,0.0
75.446,0.42,1.56,11.96,1.89,-0.61,-0.21,16.4,1.22,2.25,1.07,0.00,0.0,103.00,0.0
77.222,1.43,-1.77,10.18,0.03,-0.15,-0.85,16.3,1.22,2.26,1.07,-13.00,0.0,103.00,0.0
78.998,0.21,-0.17,10.59,-0.18,-0.04,-0.79,16.1,1.22,2.66,1.26,-19.00,0.0,91.00,0.0
80.774,2.11,-0.27,9.26,-0.19,0.10,-0.02,15.9,1.22,2.84,1.35,-13.00,0.0,91.00,0.0
82.614,1.21,-1.26,12.46,-0.77,-0.15,-1.33,15.6,1.22,2.80,1.33,-19.00,0.0,99.00,0.0
84.390,0.73,-1.98,10.43,0.07,-0.33,-1.18,15.4,1.22,2.79,1.33,6.00,3.1,0.00,0.0
86.194,4.01,2.31,9.32,0.01,-0.00,0.28,15.3,1.22,2.97,1.41,6.00,3.1,0.00,0.0
87.970,2.82,-0.68,10.20,-0.55,0.21,-0.35,15.1,1.23,3.08,1.46,0.00,0.0,48.00,0.0
89.746,2.89,-0.94,7.80,-0.02,-0.10,-0.45,14.9,1.23,3.05,1.45,25.00,6.4,0.00,0.0
91.521,2.17,0.18,12.50,-0.31,-0.20,-0.87,14.8,1.23,3.00,1.43,-13.00,0.0,0.00,0.0
93.496,-0.69,1.05,10.72,-0.39,0.20,-0.35,14.6,1.23,2.93,1.39,-19.00,0.0,75.00,0.0
95.273,-1.27,-1.45,11.96,0.35,-0.10,-0.33,14.4,1.23,2.87,1.36,-13.00,0.0,96.00,0.0
97.049,0.37,0.78,10.38,0.15,-0.04,-0.18,14.3,1.23,2.84,1.35,0.00,0.0,0.00,0.0
98.825,0.26,-0.40,9.68,-0.53,-0.21,-1.19,14.1,1.23,2.82,1.34,-13.00,0.0,0.00,0.0
100.597,2.81,-0.32,9.69,0.09,-0.08,0.29,14.0,1.23,2.66,1.26,6.00,3.1,0.00,0.0
102.367,-0.47,2.14,12.95,0.63,-0.58,-1.46,13.8,1.23,2.55,1.21,6.00,3.1,0.00,0.0
104.204,0.50,2.18,13.20,-0.14,-0.04,-0.66,13.6,1.23,2.57,1.22,-19.00,0.0,0.00,0.0
106.011,1.47,-0.27,10.19,-1.18,0.44,0.01,13.4,1.23,2.73,1.30,-19.00,0.0,0.00,0.0
107.784,2.96,1.03,9.35,0.56,-0.17,0.00,13.2,1.23,2.89,1.37,0.00,0.0,0.00,0.0
109.557,2.75,-1.62,12.13,0.13,0.09,-0.30,13.1,1.23,2.86,1.36,-19.00,0.0,0.00,0.0
111.330,2.43,1.18,10.57,-0.01,-0.24,-0.68,12.9,1.23,2.85,1.35,-13.00,0.0,0.00,0.0
113.101,1.70,-1.20,6.47,-0.38,-0.07,0.19,12.8,1.24,2.91,1.38,38.00,7.8,0.00,0.0
