Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pressure,Temp,DeltaP,AirspeedTemp,Speed,Power,Airspeed
26.843,1.24,-1.27,9.73,-0.01,-0.00,0.01,1013.8,17.4,-41.6,15.2,0.00,0,0.00
26.958,1.24,-1.24,9.82,-0.04,0.00,0.02,1013.6,17.4,-40.5,15.2,0.00,0,0.00
27.055,0.81,-1.83,9.84,-0.03,0.02,0.01,1013.7,17.5,-40.5,15.2,0.00,0,0.00
27.152,1.08,-1.61,9.81,-0.03,0.00,0.01,1013.7,17.4,-38.4,15.2,0.00,0,0.00
27.249,1.13,-0.71,10.96,0.15,0.03,0.03,1013.7,17.3,-43.7,15.2,0.00,0,0.00
27.346,0.81,-2.05,9.79,0.04,-0.01,-0.01,1013.6,17.3,-40.5,15.2,0.00,0,0.00
27.466,0.91,-1.25,9.61,0.05,0.02,-0.01,1013.6,17.4,-40.5,15.2,0.00,0,0.00
27.564,0.86,-2.41,9.30,-0.03,0.04,-0.01,1013.7,17.4,-40.5,15.2,0.00,0,0.00
27.661,-0.60,3.02,9.63,0.02,0.06,0.02,1013.6,17.4,-44.7,15.2,0.00,0,0.00
27.758,0.98,-1.58,9.78,0.05,0.01,-0.01,1014.1,17.2,-40.5,15.2,0.00,0,0.00
27.856,1.14,-1.96,9.77,-0.01,0.00,0.01,1013.4,17.4,-41.6,15.2,0.00,0,0.00
27.946,1.06,-1.15,9.85,0.04,0.01,-0.01,1014.1,17.4,-40.5,15.2,0.00,0,0.00
28.043,1.13,-1.53,9.75,0.03,0.00,0.00,1013.1,17.6,-41.6,15.2,0.00,0,0.00
28.164,1.04,-1.33,9.85,0.03,0.01,0.00,1013.8,17.2,-41.6,15.2,0.00,0,0.00
28.261,1.10,-1.35,9.85,0.03,0.01,0.00,1013.5,17.2,-41.6,15.2,0.00,0,0.00
28.358,1.03,-1.21,9.84,0.03,0.01,-0.00,1013.9,17.4,-40.5,15.2,0.00,0,0.00
28.449,1.11,-1.29,9.88,0.02,0.01,0.00,1013.4,17.4,-40.5,15.2,0.00,0,0.00
28.579,1.13,-1.06,9.91,0.01,0.00,0.00,1013.7,17.4,-43.7,15.2,0.00,0,0.00
28.653,1.04,-1.28,9.85,0.01,0.01,0.00,1013.5,17.4,-40.5,15.2,0.00,0,0.00
28.750,1.08,-1.22,9.81,0.02,0.00,0.01,1013.7,17.4,-41.6,15.2,0.00,0,0.00
