Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pressure,Temp,DeltaP,AirspeedTemp,SpeedKPH,PowerW,AirspeedKPH,CadenceRPM
75.516,0.19,0.51,10.11,-0.01,0.00,0.01,1031.8,37.2,-106.8,24.5,0.00,0,0.00,0
75.561,0.13,0.50,10.18,-0.02,0.01,0.01,1032.3,37.3,-106.8,24.5,0.00,0,0.00,0
75.586,0.19,0.49,10.12,-0.01,0.01,0.01,1031.9,37.3,-107.8,24.5,0.00,0,0.00,0
75.611,0.21,0.41,10.14,-0.01,0.01,0.01,1032.1,37.1,-106.8,24.5,0.00,0,0.00,0
75.636,0.11,0.55,10.13,-0.01,0.01,0.01,1032.3,37.4,-109.9,24.5,0.00,0,0.00,0
75.661,0.05,0.57,10.09,-0.02,0.01,0.01,1032.3,37.4,-106.8,24.5,0.00,0,0.00,0
75.691,0.23,0.47,10.09,-0.02,0.01,0.01,1032.3,37.2,-107.8,24.5,0.00,0,0.00,0
75.716,0.28,0.49,10.12,-0.01,0.01,0.01,1032.6,37.3,-107.8,24.5,0.00,0,0.00,0
75.741,0.20,0.45,10.08,-0.02,0.00,0.01,1032.2,37.2,-107.8,24.5,0.00,0,0.00,0
75.766,0.15,0.54,10.12,-0.02,0.01,0.01,1031.9,37.4,-107.8,24.5,0.00,0,0.00,0
75.791,0.23,0.48,10.12,-0.02,0.01,0.01,1032.5,37.4,-106.8,24.5,0.00,0,0.00,0
75.816,0.20,0.47,10.19,-0.03,0.01,0.01,1031.9,37.2,-106.8,24.5,0.00,0,0.00,0
75.841,0.08,0.53,10.10,-0.03,0.01,0.01,1032.3,37.4,-104.7,24.5,0.00,0,0.00,0
75.866,0.03,0.50,10.14,-0.03,0.01,0.01,1032.2,37.3,-106.8,24.5,0.00,0,0.00,0
75.891,0.12,0.41,10.14,-0.02,0.01,0.01,1032.5,37.4,-106.8,24.5,0.00,0,0.00,0
75.916,0.20,0.49,10.14,-0.02,0.01,0.01,1032.0,37.4,-104.7,24.5,0.00,0,0.00,0
75.941,0.12,0.53,10.11,-0.03,0.00,0.02,1032.8,37.3,-104.7,24.5,0.00,0,0.00,0
75.966,-0.06,0.57,10.13,-0.02,-0.00,0.01,1032.2,37.4,-106.8,24.5,0.00,0,0.00,0
75.991,0.01,0.52,10.24,-0.02,-0.01,0.01,1032.2,37.4,-109.9,24.5,0.00,0,0.00,0
76.016,0.08,0.54,10.14,-0.02,0.01,0.01,1032.7,37.2,-109.9,24.5,0.00,0,0.00,0
76.072,-0.00,0.48,10.15,-0.02,0.01,0.01,1032.5,37.2,-109.9,24.5,0.00,0,0.00,0
76.097,0.09,0.42,10.12,-0.01,0.02,0.01,1032.8,37.4,-107.8,24.5,0.00,0,0.00,0
76.122,0.17,0.45,10.17,-0.00,0.01,0.01,1033.0,37.3,-104.7,24.5,0.00,0,0.00,0
76.147,0.22,0.48,10.11,-0.01,0.01,0.01,1032.5,37.4,-109.9,24.5,0.00,0,0.00,0
76.172,0.22,0.50,10.16,-0.02,0.01,0.01,1032.6,37.2,-107.8,24.5,0.00,0,0.00,0
76.197,0.35,0.55,10.01,-0.02,0.01,0.02,1032.6,37.3,-107.8,24.5,0.00,0,0.00,0
76.222,0.34,0.36,10.09,-0.02,-0.00,0.01,1032.3,37.4,-109.9,24.5,0.00,0,0.00,0
76.247,0.23,0.40,10.17,-0.01,0.00,0.01,1032.6,37.4,-107.8,24.5,0.00,0,0.00,0
76.272,0.20,0.46,10.19,-0.01,0.01,0.01,1032.5,37.3,-109.9,24.5,0.00,0,0.00,0
76.297,0.29,0.46,10.15,-0.02,0.01,0.01,1032.5,37.4,-106.8,24.5,0.00,0,0.00,0
76.322,0.09,0.36,10.24,-0.01,0.01,0.01,1032.4,37.3,-111.0,24.5,0.00,0,0.00,0
76.347,0.03,0.56,10.09,-0.01,0.00,0.01,1032.4,37.2,-107.8,24.5,0.00,0,0.00,0
76.372,0.10,0.45,10.11,-0.01,-0.00,0.01,1032.0,37.4,-107.8,24.5,0.00,0,0.00,0
76.397,0.27,0.53,10.27,0.00,-0.00,0.02,1032.3,37.4,-106.8,24.5,0.00,0,0.00,0
76.431,0.15,0.55,10.24,-0.01,-0.01,0.01,1032.6,37.2,-106.8,24.5,0.00,0,0.00,0
76.456,0.25,0.53,10.08,-0.01,0.00,0.01,1032.4,37.5,-106.8,24.5,0.00,0,0.00,0
76.481,0.14,0.51,10.00,-0.01,0.01,0.01,1032.9,37.6,-107.8,24.5,0.00,0,0.00,0
76.506,0.35,0.53,10.05,-0.01,0.02,0.01,1032.5,37.4,-107.8,24.5,0.00,0,0.00,0
76.531,0.37,0.50,10.13,-0.02,0.02,0.01,1032.2,37.4,-106.8,24.5,0.00,0,0.00,0
76.576,0.43,0.38,10.18,-0.03,0.01,0.01,1032.4,37.4,-106.8,24.5,0.00,0,0.00,0
76.601,0.52,0.44,10.13,-0.01,0.01,0.01,1031.9,37.4,-107.8,24.5,0.00,0,0.00,0
76.626,0.55,0.40,10.13,-0.01,0.01,0.01,1032.2,37.2,-107.8,24.5,0.00,0,0.00,0
76.651,0.38,0.40,10.14,-0.00,-0.00,0.01,1032.5,37.4,-104.7,24.5,0.00,0,0.00,0
76.676,0.34,0.49,10.19,0.00,0.00,0.01,1032.3,37.4,-107.8,24.5,0.00,0,0.00,0
76.701,0.37,0.45,10.13,0.01,-0.00,0.01,1032.0,37.4,-107.8,24.5,0.00,0,0.00,0
76.726,0.35,0.44,10.15,0.01,-0.00,0.01,1032.6,37.4,-109.9,24.5,0.00,0,0.00,0
76.751,0.51,0.43,10.17,0.01,-0.00,0.01,1032.2,37.4,-106.8,24.5,0.00,0,0.00,0
76.776,0.40,0.55,10.14,0.02,0.00,0.01,1032.1,37.6,-104.7,24.5,0.00,0,0.00,0
76.889,0.84,0.56,10.10,-0.00,0.01,0.00,1032.9,37.3,-106.8,24.5,0.00,0,0.00,0
76.914,0.87,0.53,10.09,-0.01,0.01,-0.00,1032.9,37.5,-109.9,24.5,0.00,0,0.00,0
76.939,0.54,0.38,10.09,-0.02,0.00,-0.01,1032.6,37.5,-107.8,24.5,0.00,0,0.00,0
76.964,0.38,0.26,10.07,-0.02,0.00,-0.00,1032.4,37.4,-107.8,24.5,0.00,0,0.00,0
76.989,0.52,0.40,10.22,-0.02,-0.00,-0.01,1032.5,37.4,-106.8,24.5,0.00,0,0.00,0
77.014,0.35,0.45,10.12,0.00,0.00,-0.01,1032.1,37.4,-106.8,24.5,0.00,0,0.00,0
77.039,0.22,0.66,10.41,-0.02,-0.01,-0.01,1032.6,37.2,-106.8,24.5,0.00,0,0.00,0
77.084,0.33,0.55,10.17,-0.01,0.01,0.00,1032.5,37.4,-106.8,24.5,0.00,0,0.00,0
77.109,0.12,0.58,10.05,-0.01,0.02,-0.00,1032.3,37.5,-104.7,24.5,0.00,0,0.00,0
77.134,0.15,0.57,10.18,-0.02,0.02,-0.00,1032.4,37.4,-106.8,24.5,0.00,0,0.00,0
77.159,0.22,0.47,10.07,-0.01,0.02,-0.01,1032.0,37.6,-109.9,24.5,0.00,0,0.00,0
77.184,0.42,0.40,9.87,-0.01,0.02,-0.01,1032.3,37.4,-104.7,24.5,0.00,0,0.00,0
77.209,0.28,0.54,10.00,-0.01,0.00,-0.01,1032.3,37.5,-104.7,24.5,0.00,0,0.00,0
77.234,0.48,0.49,9.97,-0.01,0.00,-0.01,1032.7,37.6,-103.6,24.5,0.00,0,0.00,0
77.270,0.28,0.19,10.09,0.01,0.01,-0.01,1032.5,37.5,-106.8,24.5,0.00,0,0.00,0
77.295,0.42,0.68,10.24,0.02,0.01,-0.01,1032.6,37.4,-107.8,24.5,0.00,0,0.00,0
77.320,0.38,0.22,10.19,0.03,0.02,-0.02,1032.6,37.5,-106.8,24.5,0.00,0,0.00,0
77.345,0.76,0.30,10.33,0.07,0.04,-0.03,1032.1,37.6,-106.8,24.5,0.00,0,0.00,0
77.370,1.01,0.53,10.05,0.06,0.04,-0.03,1032.1,37.4,-106.8,24.5,0.00,0,0.00,0
77.395,1.03,0.67,9.81,0.00,0.01,-0.03,1032.5,37.3,-107.8,24.5,0.00,0,0.00,0
77.420,1.12,0.15,10.29,-0.03,0.00,-0.04,1032.0,37.5,-107.8,24.5,0.00,0,0.00,0
77.445,1.45,0.29,10.22,-0.03,0.02,-0.05,1032.1,37.5,-106.8,24.5,0.00,0,0.00,0
77.470,1.42,0.47,10.00,-0.04,0.01,-0.04,1032.3,37.4,-109.9,24.5,0.00,0,0.00,0
77.495,1.15,0.54,9.88,-0.03,0.03,-0.06,1032.2,37.5,-109.9,24.5,0.00,0,0.00,0
77.520,1.10,0.84,9.79,-0.05,0.00,-0.06,1032.4,37.6,-109.9,24.5,0.00,0,0.00,0
77.545,0.59,0.73,9.89,-0.06,0.01,-0.07,1032.3,37.6,-106.8,24.5,0.00,0,0.00,0
77.590,1.35,0.95,10.90,-0.04,0.05,-0.07,1032.6,37.8,-107.8,24.5,0.00,0,0.00,0
77.615,2.18,-0.68,10.82,-0.07,0.00,-0.08,1032.4,37.4,-106.8,24.5,0.00,0,0.00,0
77.727,1.15,0.79,10.69,-0.05,0.04,-0.08,1032.9,37.5,-107.8,24.5,0.00,0,0.00,0
77.752,1.95,0.78,10.15,-0.05,0.03,-0.08,1032.8,37.6,-107.8,24.5,0.00,0,0.00,0
77.777,1.76,0.61,10.56,-0.10,-0.02,-0.06,1032.3,37.5,-104.7,24.5,0.00,0,0.00,0
77.802,1.98,1.33,9.26,-0.11,0.00,-0.07,1032.3,37.4,-106.8,24.5,0.00,0,0.00,0
77.827,2.24,0.86,9.54,-0.09,0.00,-0.06,1032.2,37.4,-106.8,24.5,0.00,0,0.00,0
77.852,2.02,1.11,10.77,-0.08,0.01,-0.04,1032.3,37.4,-104.7,24.5,0.00,0,0.00,0
77.877,1.30,0.09,10.59,0.03,0.04,-0.03,1032.2,37.6,-104.7,24.5,0.00,0,0.00,0
77.902,1.25,-0.10,7.87,-0.04,0.11,-0.04,1032.5,37.5,-101.5,24.5,0.00,0,0.00,0
77.927,-0.27,1.01,10.82,-0.03,-0.02,-0.05,1032.4,37.4,-104.7,24.5,0.00,0,0.00,0
77.952,0.84,1.31,7.93,0.00,-0.00,0.01,1032.2,37.5,-111.0,24.5,0.00,0,0.00,0
77.977,-1.69,1.60,7.97,-0.00,0.01,-0.07,1032.4,37.4,-103.6,24.5,0.00,0,0.00,0
78.002,-1.66,0.26,9.95,-0.04,-0.01,-0.05,1032.2,37.5,-106.8,24.5,0.00,0,0.00,0
78.027,-2.01,0.85,10.08,0.02,-0.02,-0.03,1032.5,37.6,-109.9,24.5,0.00,0,0.00,0
78.052,0.09,0.61,11.43,-0.00,-0.04,-0.02,1032.6,37.6,-106.8,24.5,0.00,0,0.00,0
78.108,-0.18,0.71,9.57,-0.02,-0.09,-0.02,1032.0,37.6,-109.9,24.5,0.00,0,0.00,0
78.133,-0.33,0.34,9.80,0.05,0.04,0.01,1032.5,37.4,-107.8,24.5,0.00,0,0.00,0
78.158,-0.33,-0.64,11.33,-0.03,0.01,0.01,1032.4,37.4,-101.5,24.5,0.00,0,0.00,0
78.183,2.02,2.51,10.22,0.06,0.13,-0.00,1032.4,37.5,-104.7,24.5,0.00,0,0.00,0
78.208,0.33,1.14,11.66,0.07,0.06,-0.01,1032.3,37.4,-106.8,24.5,0.00,0,0.00,0
78.233,-0.64,1.12,11.32,0.01,-0.04,-0.02,1032.8,37.4,-104.7,24.5,0.00,0,0.00,0
78.258,-0.78,0.18,8.58,-0.01,0.07,0.02,1032.3,37.4,-104.7,24.5,0.00,0,0.00,0
78.283,-0.52,0.93,8.82,0.07,0.09,0.01,1032.5,37.4,-104.7,24.5,0.00,0,0.00,0
78.308,-0.54,-0.65,10.45,-0.09,-0.02,0.01,1032.6,37.4,-106.8,24.5,0.00,0,0.00,0
78.333,-1.21,-0.47,10.03,-0.05,0.05,0.02,1032.7,37.5,-106.8,25.3,0.00,0,0.00,0
78.358,-1.94,0.15,10.40,0.02,0.03,-0.04,1032.3,37.5,-101.5,25.3,0.00,0,0.00,0
78.383,3.29,0.23,9.89,-0.03,0.01,0.04,1032.4,37.5,-104.7,25.3,0.00,0,0.00,0
78.408,-1.94,0.25,10.95,0.00,-0.04,-0.02,1032.5,37.2,-104.7,25.3,0.00,0,0.00,0
78.433,-0.82,-1.58,9.97,-0.04,-0.02,-0.02,1032.7,37.4,-103.6,25.3,0.00,0,0.00,0
78.546,-0.08,1.43,10.35,0.03,0.00,0.01,1032.3,37.4,-106.8,25.3,0.00,0,0.00,0
78.571,0.47,1.34,10.77,0.04,-0.01,0.01,1031.7,37.4,-107.8,25.3,0.00,0,0.00,0
78.616,0.71,1.38,10.08,0.01,0.05,0.01,1032.3,37.4,-106.8,25.3,0.00,0,0.00,0
78.641,-0.04,-0.68,9.36,-0.00,0.02,0.00,1032.4,37.3,-107.8,25.3,0.00,0,0.00,0
78.666,-0.82,1.94,10.81,0.04,0.04,0.01,1032.2,37.4,-109.9,25.3,0.00,0,0.00,0
78.691,-0.08,0.62,10.35,0.00,0.05,-0.01,1032.4,37.4,-107.8,25.3,0.00,0,0.00,0
78.716,0.79,1.34,9.41,0.04,0.02,-0.00,1032.8,37.4,-107.8,25.3,0.00,0,0.00,0
78.741,-0.29,1.11,9.57,-0.01,0.00,0.00,1032.3,37.6,-106.8,25.3,0.00,0,0.00,0
78.766,1.37,-0.87,10.15,0.07,0.07,-0.01,1032.6,37.4,-107.8,25.3,0.00,0,0.00,0
78.791,0.73,2.32,9.54,0.09,0.10,-0.01,1032.4,37.4,-104.7,25.3,0.00,0,0.00,0
78.816,-1.09,-0.68,8.63,0.05,0.14,-0.00,1032.5,37.4,-103.6,25.3,0.00,0,0.00,0
78.841,0.95,3.01,10.97,0.08,0.03,0.01,1032.5,37.5,-104.7,25.3,0.00,0,0.00,0
78.866,-0.79,1.16,10.30,0.01,-0.04,-0.01,1032.8,37.4,-104.7,25.3,0.00,0,0.00,0
78.891,1.00,-0.40,9.98,-0.02,-0.03,-0.03,1032.4,37.4,-107.8,25.3,0.00,0,0.00,0
78.927,0.84,1.68,9.67,-0.01,0.03,-0.03,1032.6,37.4,-106.8,25.3,0.00,0,0.00,0
78.952,0.84,0.62,9.90,-0.01,0.03,-0.04,1032.6,37.2,-106.8,25.3,0.00,0,0.00,0
78.977,-0.59,-0.13,9.38,-0.02,0.03,-0.06,1032.3,37.4,-111.0,25.3,0.00,0,0.00,0
79.002,-1.07,0.84,11.62,0.03,0.07,-0.03,1032.1,37.4,-109.9,25.3,0.00,0,0.00,0
79.027,-1.20,1.04,9.80,-0.05,0.05,-0.03,1032.5,37.3,-104.7,25.3,0.00,0,0.00,0
79.052,1.48,0.20,9.61,-0.02,-0.01,-0.00,1032.5,37.3,-109.9,25.3,0.00,0,0.00,0
79.077,-0.02,0.73,8.94,0.04,0.09,-0.02,1032.2,37.4,-109.9,25.3,0.00,0,0.00,0
79.122,-0.26,1.21,9.93,-0.07,0.03,0.01,1032.3,37.5,-106.8,25.3,0.00,0,0.00,0
79.147,0.64,0.96,8.33,-0.09,-0.11,-0.02,1031.8,37.3,-103.6,24.5,0.00,0,0.00,0
79.172,0.18,3.53,17.53,-0.09,-0.01,-0.03,1032.6,37.4,-103.6,24.5,0.00,0,0.00,0
79.197,3.37,-2.06,9.47,-0.01,-0.07,-0.03,1032.5,37.4,-106.8,24.5,0.00,0,0.00,0
79.222,0.51,-0.75,11.31,-0.12,-0.11,-0.05,1032.5,37.3,-104.7,24.5,0.00,0,0.00,0
79.247,1.63,2.14,9.82,-0.06,0.04,0.00,1032.5,37.3,-104.7,25.3,0.00,0,0.00,0
79.272,1.04,-0.05,8.89,-0.16,-0.02,-0.01,1032.3,37.2,-104.7,25.3,0.00,0,0.00,0
79.308,3.29,-6.19,0.29,-0.14,0.09,-0.09,1032.3,37.3,-101.5,25.3,0.00,0,0.00,0
79.333,-0.73,11.48,3.31,0.18,-0.45,0.05,1032.5,37.5,-98.4,25.3,0.00,0,0.00,0
79.358,-0.38,-3.06,9.74,0.03,-0.01,-0.07,1032.3,37.3,-103.6,25.3,0.00,0,0.00,0
79.383,0.46,-0.80,9.58,-0.12,0.09,0.01,1032.7,37.4,-101.5,25.3,0.00,0,0.00,0
79.408,1.23,-0.68,10.46,-0.04,0.06,0.02,1032.2,37.3,-100.5,25.3,0.00,0,0.00,0
79.433,0.84,1.70,9.42,-0.07,0.07,0.03,1032.6,37.3,-100.5,25.3,0.00,0,0.00,0
79.458,0.61,0.37,8.64,-0.06,0.07,0.03,1032.8,37.2,-101.5,25.3,0.00,0,0.00,0
79.483,1.28,2.23,10.35,-0.03,0.15,0.06,1032.0,37.4,-101.5,25.3,0.00,0,0.00,0
79.508,4.45,0.91,10.64,-0.10,0.03,0.05,1032.5,37.4,-101.5,25.3,0.00,0,0.00,0
79.533,1.93,-0.45,9.98,-0.03,0.16,-0.00,1032.7,37.4,-100.5,25.3,0.00,0,0.00,0
79.558,4.25,-0.34,12.13,-0.08,0.03,-0.00,1032.6,37.4,-100.5,25.3,0.00,0,0.00,0
79.583,1.43,1.07,10.25,-0.01,0.08,0.01,1032.3,37.3,-98.4,25.3,0.00,0,0.00,0
79.629,0.87,0.04,9.55,-0.04,0.08,-0.01,1032.7,37.0,-98.4,25.3,0.00,0,0.00,0
79.654,0.41,0.08,11.29,-0.10,0.03,-0.00,1032.5,37.2,-104.7,25.3,0.00,0,0.00,0
79.773,-2.40,1.72,6.80,-0.05,0.03,-0.02,1032.7,37.4,-95.2,25.3,0.00,0,0.00,0
79.798,6.45,0.30,12.77,0.20,-0.17,-0.04,1032.8,37.2,-95.2,25.3,0.00,0,0.00,0
79.823,-3.51,-0.96,14.78,0.21,-0.63,-0.15,1032.9,37.2,-100.5,25.3,0.00,0,0.00,0
79.848,-0.31,1.63,11.14,0.07,-0.17,-0.01,1032.2,37.2,-100.5,25.3,0.00,0,0.00,0
79.873,0.84,2.14,11.09,0.00,0.05,0.01,1032.3,37.4,-101.5,25.3,0.00,0,0.00,0
79.898,-2.90,1.06,10.06,0.22,0.10,0.02,1032.4,37.4,-100.5,25.3,0.00,0,0.00,0
79.923,-1.28,-1.47,8.15,0.05,-0.01,0.03,1032.1,37.3,-98.4,25.3,0.00,0,0.00,0
79.948,-1.31,2.04,9.51,0.08,0.10,-0.02,1032.2,37.4,-101.5,25.3,0.00,0,0.00,0
79.973,-1.39,1.53,10.86,0.10,-0.01,0.04,1032.3,37.2,-100.5,25.3,0.00,0,0.00,0
79.998,1.27,0.63,10.50,-0.03,-0.01,-0.01,1032.7,37.4,-98.4,25.3,0.00,0,0.00,0
80.023,-1.32,0.59,9.96,0.04,-0.03,0.02,1032.4,37.2,-100.5,25.3,0.00,0,0.00,0
80.048,0.41,-0.48,11.29,0.15,-0.02,0.01,1032.9,37.2,-101.5,25.3,0.00,0,0.00,0
80.073,-2.58,-0.75,9.64,0.10,0.02,-0.02,1032.3,37.4,-101.5,25.3,0.00,0,0.00,0
80.098,-0.63,-1.20,7.68,-0.06,-0.14,-0.01,1032.4,37.4,-101.5,25.3,0.00,0,0.00,0
80.154,-1.85,0.49,11.01,-0.00,0.14,0.00,1032.6,37.3,-97.3,25.3,0.00,0,0.00,0
80.179,1.96,-0.30,10.54,0.07,0.10,-0.06,1032.8,37.3,-98.4,25.3,0.00,0,0.00,0
